LIST_ID,CUE_ID,CUE
21,4,radio
21,5,drink (action)
21,6,church
21,7,hate
21,8,penny
21,9,find
21,10,movie
21,11,skate
21,12,buttocks/bottom
21,13,naughty
21,14,camera
21,15,coffee
21,16,hide
21,17,same
21,18,hard
21,19,salt
21,20,fish (food)
21,21,belly button
21,22,show (action)
21,23,high
21,24,poor
21,25,no
21,26,thank you
21,27,work (place)
21,28,roof
21,29,careful
21,30,blow
21,31,glasses
21,32,work (action)
21,33,think
21,34,party
21,35,will
